reg_num,subj,crse,title
10577,ANTH,ANTH,ANTH
20573,ANTH,ANTH,ANTH
10624,BIOL,BIOL,BIOL
10626,BIOL,BIOL,BIOL
20626,BIOL,BIOL,BIOL
10543,CHEM,CHEM,CHEM
10544,CHEM,CHEM,CHEM
10545,CHEM,CHEM,CHEM
10546,CHEM,CHEM,CHEM
10789,CHEM,CHEM,CHEM
10547,CHEM,CHEM,CHEM
10548,CHEM,CHEM,CHEM
20575,ANTH,ANTH,ANTH
10549,CHEM,CHEM,CHEM
10550,CHEM,CHEM,CHEM
10551,CHEM,CHEM,CHEM
10555,CHEM,CHEM,CHEM
10552,CHEM,CHEM,CHEM
10553,CHEM,CHEM,CHEM
10557,CHEM,CHEM,CHEM
10556,CHEM,CHEM,CHEM
10554,CHEM,CHEM,CHEM
10558,CHEM,CHEM,CHEM
20483,ANTH,ANTH,ANTH
20537,CHEM,CHEM,CHEM
20538,CHEM,CHEM,CHEM
20539,CHEM,CHEM,CHEM
20540,CHEM,CHEM,CHEM
20541,CHEM,CHEM,CHEM
20542,CHEM,CHEM,CHEM
20543,CHEM,CHEM,CHEM
20544,CHEM,CHEM,CHEM
20545,CHEM,CHEM,CHEM
20546,CHEM,CHEM,CHEM
20667,ANTH,ANTH,ANTH
20547,CHEM,CHEM,CHEM
10559,CHEM,CHEM,CHEM
10560,CHEM,CHEM,CHEM
10561,CHEM,CHEM,CHEM
10562,CHEM,CHEM,CHEM
10563,CHEM,CHEM,CHEM
10565,CHEM,CHEM,CHEM
10566,CHEM,CHEM,CHEM
10567,CHEM,CHEM,CHEM
20548,CHEM,CHEM,CHEM
20571,ANTH,ANTH,ANTH
20549,CHEM,CHEM,CHEM
20550,CHEM,CHEM,CHEM
20551,CHEM,CHEM,CHEM
20552,CHEM,CHEM,CHEM
20554,CHEM,CHEM,CHEM
20555,CHEM,CHEM,CHEM
20556,CHEM,CHEM,CHEM
20557,CHEM,CHEM,CHEM
20559,CHEM,CHEM,CHEM
20560,CHEM,CHEM,CHEM
10605,ANTH,ANTH,ANTH
10582,CHEM,CHEM,CHEM
10568,CHEM,CHEM,CHEM
10569,CHEM,CHEM,CHEM
10570,CHEM,CHEM,CHEM
20561,CHEM,CHEM,CHEM
20563,CHEM,CHEM,CHEM
20564,CHEM,CHEM,CHEM
10571,CHEM,CHEM,CHEM
20565,CHEM,CHEM,CHEM
10572,CHEM,CHEM,CHEM
20570,ANTH,ANTH,ANTH
10574,CHEM,CHEM,CHEM
10576,CHEM,CHEM,CHEM
10575,CHEM,CHEM,CHEM
20566,CHEM,CHEM,CHEM
20567,CHEM,CHEM,CHEM
20568,CHEM,CHEM,CHEM
20569,CHEM,CHEM,CHEM
10377,CHIN,CHIN,CHIN
10118,CHIN,CHIN,CHIN
20598,CHIN,CHIN,CHIN
20572,ANTH,ANTH,ANTH
10629,CHIN,CHIN,CHIN
10628,CHIN,CHIN,CHIN
10630,CHIN,CHIN,CHIN
20596,CHIN,CHIN,CHIN
20601,CHIN,CHIN,CHIN
20486,CLAS,CLAS,CLAS
10489,CLAS,CLAS,CLAS
20488,CLAS,CLAS,CLAS
20503,CRWR,CRWR,CRWR
10515,CRWR,CRWR,CRWR
20659,ANTH,ANTH,ANTH
20504,CRWR,CRWR,CRWR
10516,CRWR,CRWR,CRWR
20642,CRWR,CRWR,CRWR
10517,CRWR,CRWR,CRWR
10518,CRWR,CRWR,CRWR
20506,CRWR,CRWR,CRWR
10519,CRWR,CRWR,CRWR
20507,CRWR,CRWR,CRWR
10119,DANC,DANC,DANC
10121,DANC,DANC,DANC
20672,ANTH,ANTH,ANTH
20627,DANC,DANC,DANC
10639,DANC,DANC,DANC
20655,DANC,DANC,DANC
10631,DANC,DANC,DANC
10324,ECON,ECON,ECON
10325,ECON,ECON,ECON
10326,ECON,ECON,ECON
10327,ECON,ECON,ECON
20319,ECON,ECON,ECON
20320,ECON,ECON,ECON
10578,ANTH,ANTH,ANTH
10583,ANTH,ANTH,ANTH
20321,ECON,ECON,ECON
20322,ECON,ECON,ECON
10584,ECON,ECON,ECON
20574,ECON,ECON,ECON
10585,ECON,ECON,ECON
20576,ECON,ECON,ECON
20580,ECON,ECON,ECON
10587,ECON,ECON,ECON
10589,ECON,ECON,ECON
20585,ECON,ECON,ECON
10586,ANTH,ANTH,ANTH
10590,ECON,ECON,ECON
10591,ECON,ECON,ECON
20582,ECON,ECON,ECON
10592,ECON,ECON,ECON
20602,ECON,ECON,ECON
20592,ECON,ECON,ECON
10597,ECON,ECON,ECON
10503,ENG,ENG,ENG
10774,ENG,ENG,ENG
20508,ENG,ENG,ENG
10593,ANTH,ANTH,ANTH
10504,ENG,ENG,ENG
10505,ENG,ENG,ENG
20509,ENG,ENG,ENG
10506,ENG,ENG,ENG
10507,ENG,ENG,ENG
20510,ENG,ENG,ENG
10758,ENG,ENG,ENG
20511,ENG,ENG,ENG
20512,ENG,ENG,ENG
10508,ENG,ENG,ENG
20660,ANTH,ANTH,ANTH
20513,ENG,ENG,ENG
20647,ENG,ENG,ENG
20514,ENG,ENG,ENG
20515,ENG,ENG,ENG
20516,ENG,ENG,ENG
10509,ENG,ENG,ENG
10510,ENG,ENG,ENG
20677,ENG,ENG,ENG
10511,ENG,ENG,ENG
10512,ENG,ENG,ENG
10458,ART,ART,ART
20517,ENG,ENG,ENG
10752,ENG,ENG,ENG
20518,ENG,ENG,ENG
10514,ENG,ENG,ENG
10136,FREN,FREN,FREN
10137,FREN,FREN,FREN
10138,FREN,FREN,FREN
10139,FREN,FREN,FREN
10140,FREN,FREN,FREN
10141,FREN,FREN,FREN
10459,ART,ART,ART
10142,FREN,FREN,FREN
10495,FREN,FREN,FREN
20493,FREN,FREN,FREN
20494,FREN,FREN,FREN
20495,FREN,FREN,FREN
20496,FREN,FREN,FREN
10496,FREN,FREN,FREN
10497,FREN,FREN,FREN
10143,GER,GER,GER
10397,GER,GER,GER
20465,ART,ART,ART
10145,GER,GER,GER
10498,GER,GER,GER
20499,GER,GER,GER
20497,GER,GER,GER
20502,GER,GER,GER
10501,GER,GER,GER
10499,GER,GER,GER
20500,GER,GER,GER
10146,GRK,GRK,GRK
10147,GRK,GRK,GRK
20466,ART,ART,ART
10487,GRK,GRK,GRK
20485,GRK,GRK,GRK
20628,HIST,HIST,HIST
10643,HIST,HIST,HIST
10644,HIST,HIST,HIST
20629,HIST,HIST,HIST
10784,HIST,HIST,HIST
10645,HIST,HIST,HIST
10646,HIST,HIST,HIST
10647,HIST,HIST,HIST
10453,ART,ART,ART
20630,HIST,HIST,HIST
10648,HIST,HIST,HIST
20631,HIST,HIST,HIST
20632,HIST,HIST,HIST
20633,HIST,HIST,HIST
20634,HIST,HIST,HIST
10649,HIST,HIST,HIST
10653,HIST,HIST,HIST
20640,HIST,HIST,HIST
20641,HIST,HIST,HIST
20461,ART,ART,ART
20635,HIST,HIST,HIST
20636,HIST,HIST,HIST
10650,HIST,HIST,HIST
20637,HIST,HIST,HIST
20638,HIST,HIST,HIST
10651,HIST,HIST,HIST
10800,HIST,HIST,HIST
10490,HIST,HIST,HIST
20489,HIST,HIST,HIST
10652,HIST,HIST,HIST
10579,ANTH,ANTH,ANTH
20462,ART,ART,ART
20639,HIST,HIST,HIST
10072,HUM,HUM,HUM
10148,HUM,HUM,HUM
10149,HUM,HUM,HUM
10150,HUM,HUM,HUM
10151,HUM,HUM,HUM
10152,HUM,HUM,HUM
10153,HUM,HUM,HUM
10154,HUM,HUM,HUM
10155,HUM,HUM,HUM
10460,ART,ART,ART
10156,HUM,HUM,HUM
10157,HUM,HUM,HUM
10158,HUM,HUM,HUM
10159,HUM,HUM,HUM
10160,HUM,HUM,HUM
10161,HUM,HUM,HUM
10749,HUM,HUM,HUM
10162,HUM,HUM,HUM
10163,HUM,HUM,HUM
10164,HUM,HUM,HUM
20467,ART,ART,ART
10165,HUM,HUM,HUM
10775,HUM,HUM,HUM
10166,HUM,HUM,HUM
10168,HUM,HUM,HUM
10169,HUM,HUM,HUM
10318,HUM,HUM,HUM
10323,HUM,HUM,HUM
10073,HUM,HUM,HUM
10175,HUM,HUM,HUM
10176,HUM,HUM,HUM
10461,ART,ART,ART
10177,HUM,HUM,HUM
10178,HUM,HUM,HUM
10074,HUM,HUM,HUM
10170,HUM,HUM,HUM
10171,HUM,HUM,HUM
10172,HUM,HUM,HUM
10173,HUM,HUM,HUM
10174,HUM,HUM,HUM
10314,HUM,HUM,HUM
10315,HUM,HUM,HUM
20468,ART,ART,ART
10316,HUM,HUM,HUM
10317,HUM,HUM,HUM
10179,LAT,LAT,LAT
10180,LAT,LAT,LAT
10486,LAT,LAT,LAT
20484,LAT,LAT,LAT
10481,LING,LING,LING
10484,LING,LING,LING
10483,LING,LING,LING
20481,LING,LING,LING
10454,ART,ART,ART
20482,LING,LING,LING
10588,LING,LING,LING
10598,LING,LING,LING
10747,LING,LING,LING
10747,LING,LING,LING
20652,LING,LING,LING
10538,LIT,LIT,LIT
10757,LIT,LIT,LIT
20498,LIT,LIT,LIT
10756,LIT,LIT,LIT
20682,ART,ART,ART
20657,LIT,LIT,LIT
10502,LIT,LIT,LIT
20665,LIT,LIT,LIT
20487,LIT,LIT,LIT
20531,LIT,LIT,LIT
10540,LIT,LIT,LIT
10500,LIT,LIT,LIT
20501,LIT,LIT,LIT
20536,LIT,LIT,LIT
20533,LIT,LIT,LIT
10455,ART,ART,ART
10542,LIT,LIT,LIT
10430,MATH,MATH,MATH
10431,MATH,MATH,MATH
10432,MATH,MATH,MATH
10433,MATH,MATH,MATH
10434,MATH,MATH,MATH
10435,MATH,MATH,MATH
20442,MATH,MATH,MATH
20443,MATH,MATH,MATH
20444,MATH,MATH,MATH
20680,ART,ART,ART
20445,MATH,MATH,MATH
20446,MATH,MATH,MATH
20447,MATH,MATH,MATH
20448,MATH,MATH,MATH
20449,MATH,MATH,MATH
10436,MATH,MATH,MATH
10436,MATH,MATH,MATH
10437,MATH,MATH,MATH
10437,MATH,MATH,MATH
20450,MATH,MATH,MATH
20681,ART,ART,ART
10438,MATH,MATH,MATH
10439,MATH,MATH,MATH
10440,MATH,MATH,MATH
10441,MATH,MATH,MATH
10442,MATH,MATH,MATH
10443,MATH,MATH,MATH
10444,MATH,MATH,MATH
10445,MATH,MATH,MATH
20451,MATH,MATH,MATH
20452,MATH,MATH,MATH
10580,ANTH,ANTH,ANTH
10777,ART,ART,ART
20453,MATH,MATH,MATH
10446,MATH,MATH,MATH
10447,MATH,MATH,MATH
10448,MATH,MATH,MATH
20454,MATH,MATH,MATH
20455,MATH,MATH,MATH
20456,MATH,MATH,MATH
10449,MATH,MATH,MATH
20457,MATH,MATH,MATH
20643,MATH,MATH,MATH
20679,ART,ART,ART
10450,MATH,MATH,MATH
20458,MATH,MATH,MATH
20459,MATH,MATH,MATH
10451,MATH,MATH,MATH
10452,MATH,MATH,MATH
10329,MUS,MUS,MUS
20324,MUS,MUS,MUS
10321,MUS,MUS,MUS
20316,MUS,MUS,MUS
10322,MUS,MUS,MUS
10462,ART,ART,ART
20317,MUS,MUS,MUS
10464,MUS,MUS,MUS
10465,MUS,MUS,MUS
10466,MUS,MUS,MUS
10467,MUS,MUS,MUS
10468,MUS,MUS,MUS
10469,MUS,MUS,MUS
20471,MUS,MUS,MUS
20472,MUS,MUS,MUS
20473,MUS,MUS,MUS
20469,ART,ART,ART
20474,MUS,MUS,MUS
10470,MUS,MUS,MUS
20648,MUS,MUS,MUS
10471,MUS,MUS,MUS
20475,MUS,MUS,MUS
20476,MUS,MUS,MUS
20477,MUS,MUS,MUS
10472,MUS,MUS,MUS
10473,MUS,MUS,MUS
20478,MUS,MUS,MUS
10463,ART,ART,ART
10656,PE,PE,PE
10657,PE,PE,PE
10658,PE,PE,PE
10661,PE,PE,PE
10659,PE,PE,PE
10660,PE,PE,PE
10664,PE,PE,PE
10662,PE,PE,PE
